Index	Seller_Name	Seller_ID	Base_Price	Shipping	CALC_Total_Price	Created_At	Condition	CALC_Has_Shopback	CALC_Has_Cashrewards	Seller_URL	Product_URL	Offer_ID	PID	Country_Code	Shopback_ID	Shopback_Name	Shopback_URL	Shopback_Commission	Shopback_Created_At	Shopback_Updated_At	Shopback_Hostname	Cashrewards_ID	Cashrewards_Name	Cashrewards_Commission_String	Cashrewards_Commission	Cashrewards_Hyphenated_Name	Cashrewards_Logo	Cashrewards_Online	Cashrewards_Instore	Cashrewards_Hostname	Cashrewards_Created_At	Cashrewards_Updated_At
1	www.i-tech.com.au	175	415	0	415.00	$D2025-10-01T20:23:53.181Z	new	False	False	i-tech.com.au	https://i-tech.com.au/pb3y0025au-motorola-g75-5g-256gb-with-moto-buds-aqua-blu-430731.html	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2	Allphones Online	8569	438	0	438.00	$D2025-10-01T20:23:53.181Z	new	False	False	www.allphones.com.au	https://www.allphones.com.au/motorola-moto-g75-5g-w-moto-buds-dual-sim-256gb-8gb-6-8-grey	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
3	The Good Guys	10	497	0	497.00	$D2025-10-01T20:23:53.181Z	new	True	True	www.thegoodguys.com.au	https://www.thegoodguys.com.au/motorola-g75-5g-256gb-succulent-green-11901327986	None	83429707	None	8367	The Good Guys	www.shopback.com.au/the-good-guys	Up to 3% Cashback	$D2023-08-01T09:56:13.775Z	$D2023-11-25T10:32:54.782Z	thegoodguys.com.au	1004849	The Good Guys	Up to 2.3% cashback	2.3	the-good-guys	//cdn.cashrewards.com/the-good-guys.jpg?t=637599296823973829	True	False	thegoodguys.com.au	$D2023-07-30T11:50:50.100Z	$D2023-11-25T10:32:11.855Z
4	All I.T Solutions QLD	787918218	499	0	499.00	$D2025-10-01T20:23:53.181Z	new	False	False	allitsolutions.net.au	https://allitsolutions.net.au/product/motorola-g75-5g-256gb-with-moto-buds-succulent-greenau-stock6-8full-hd120hz8gb-256gbdual-sim50mp-16mpwater-protection5000mah2year-warranty-pb3y0026au/	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	Horizon Store	395586347	399.99	0	399.99	$D2025-10-01T20:23:53.181Z	new	False	False	www.horizonstore.com.au	https://horizonstore.com.au/products/motorola-moto-g75-5g-8gb-256gb-6-8-w-moto-buds-charcoal-grey?variant=44615659061436	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	VTech Industries	1392573	391	0	391.00	$D2025-10-01T20:23:53.181Z	new	False	False	www.vtechindustries.com.au	https://vtechindustries.com.au/products/motorola-g75-5g-256gb-with-moto-buds-charcoal-grey-au-stock-6-8-full-hd-120hz-8gb-256gb-dual-sim-50mp-16mp-water-protection-5000mah-2year-warranty-pb3y0024au?variant=50641766383904	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
7	betteroffice.store	1210947108	499	0	499.00	$D2025-10-01T20:23:53.181Z	new	False	False	betteroffice.store	https://betteroffice.store/products/motorola-g75-5g-256gb-with-moto-buds-succulent-green-au-stock-6-8full-hd-120hz8gb-256gbdual-sim50mp-16mpwater-protection5000mah2year-warranty?variant=45678924824730	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
8	OzSpots Wireless	1525538	400.02	0	400.02	$D2025-10-01T20:23:53.181Z	new	False	False	www.ozspots.com.au	https://www.ozspots.com.au/product/motorola-g75-5g-256gb-with-moto-buds-succulent-greenau-stock-6-8-full-hd-120hz-8gb-256gb-50mp-16mp-single-esim-5000mah-2-years-warranty/	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
9	Snapklik AU	1277617691	430.52	0	430.52	$D2025-10-01T20:23:53.181Z	new	False	False	None	https://snapklik.com/en-au/product/motorola-moto-g75-5g-xt2437-2-dual-sim-8-256gb-international-model-gsm-factory-unlocked-compatible-with-metro-pcs-t-mobile-mint-tello-6-78-lcd-display-50mp-camera-gray/0WZV4PK70UOM5	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
10	Etoren.com	33138	592	0	592.00	$D2025-10-01T20:23:53.181Z	new	False	False	au.etoren.com	https://au.etoren.com/products/motorola-moto-g75-5g-256gb-aqua-blue-8gb-ram-global-version	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
