Index	Seller_Name	Seller_ID	Base_Price	Shipping	CALC_Total_Price	Created_At	Condition	CALC_Has_Shopback	CALC_Has_Cashrewards	Seller_URL	Product_URL	Offer_ID	PID	Country_Code	Shopback_ID	Shopback_Name	Shopback_URL	Shopback_Commission	Shopback_Created_At	Shopback_Updated_At	Shopback_Hostname	Cashrewards_ID	Cashrewards_Name	Cashrewards_Commission_String	Cashrewards_Commission	Cashrewards_Hyphenated_Name	Cashrewards_Logo	Cashrewards_Online	Cashrewards_Instore	Cashrewards_Hostname	Cashrewards_Created_At	Cashrewards_Updated_At
1	Amazon.com.au	60	247	0	247.00	$D2025-10-01T10:14:05.777Z	new	True	True	www.amazon.com.au	https://www.amazon.com.au/dp/B0DHKSJB8S	None	66929271	None	8448	Amazon Australia	www.shopback.com.au/amazon-australia	Up to 7% Cashback	$D2023-08-01T09:56:13.775Z	$D2023-11-25T10:32:54.782Z	amazon.com.au	1003434	Amazon Australia	Up to 7% cashback	7	amazon-australia	//cdn.cashrewards.com/amazon-australia.jpg	True	False	amazon.com.au	$D2023-07-30T11:50:50.100Z	$D2023-11-30T03:50:38.698Z
2	Totally Tech	1341058063	399	0	399.00	$D2025-10-01T10:14:05.777Z	new	False	False	totallytech.com.au	https://totallytech.com.au/products/motorola-g85-5g-128gb-cobalt-blue-au-stock-6-7-full-hd-120hz-8gb-128gb-50mp-32mp-dual-sim-water-protection-5000mah-2-year-warranty?variant=46626680504540	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
3	mobosquare.com.au	2130077468	271.82	0	271.82	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://mobosquare.com.au/products/motorola-g55-4-128gb-twilight-purple?variant=45884243607773	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
4	Horizon Store	395586347	349.99	0	349.99	$D2025-10-01T10:14:05.777Z	new	False	False	www.horizonstore.com.au	https://horizonstore.com.au/products/motorola-moto-g85-5g-dual-sim-128gb-8gb-6-7-olive-green?variant=44597761147068	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5	JW Computers	138	271.82	0	271.82	$D2025-10-01T10:14:05.777Z	new	False	False	www.jw.com.au	https://www.jw.com.au/product/motorola-g55-5g-128gb-smartphone-green	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6	Domayne	1364130860	348	0	348.00	$D2025-10-01T10:14:05.777Z	new	False	False	www.domayne.com.au	https://www.domayne.com.au/moto-g85-5g-128gb-urban-grey.html	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
7	Bing Lee Electrics	8	277	0	277.00	$D2025-10-01T10:14:05.777Z	new	True	True	www.binglee.com.au	https://www.binglee.com.au/products/g85-5g-8b-128gb-grey-pb2a0021au	None	66929271	None	8384	Bing Lee	www.shopback.com.au/bing-lee	6% Cashback	$D2023-08-01T09:56:13.775Z	$D2023-11-25T10:32:54.782Z	binglee.com.au	1003638	Bing Lee	1.9% cashback	1.9	bing-lee	//cdn.cashrewards.com/bing-lee.png?t=637902685380456413	True	True	binglee.com.au	$D2023-07-30T11:50:50.100Z	$D2024-09-18T10:29:30.752Z
8	PB Tech	1139	233.85	0	233.85	$D2025-10-01T10:14:05.777Z	new	False	False	www.pbtech.com	https://www.pbtech.com/au/product/MPHMOT6313928/Motorola-Mobility-moto-g55-5G-Smartphone---4GB128G	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
9	eBay - clearancekingdom134	276196026	89.1	0	89.10	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/146754196966	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
10	Reebelo Australia	13223	182.7	0	182.70	$D2025-10-01T10:14:05.777Z	new	False	False	reebelo.com.au	https://reebelo.com.au/products/motorola-moto-g-85-5-g-128-gb-urban-grey-8-gb-ram-excellent-ng7u7	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
